P,E,Q
0,3.382758621,0.220310641
0,3.503448276,0.220310641
0,3.484482759,0.220310641
0,3.468965517,0.244078666
0,3.348275862,0.235576424
0.012068965,3.229310345,0.230551582
0,3.329310345,0.230551582
0,3.553448276,0.230551582
0,3.524137931,0.221718987
0,3.487931034,0.221718987
0,3.567241379,0.221718987
0,3.686206897,0.221718987
0,3.486206897,0.221718987
0,3.570689655,0.221718987
0,3.74137931,0.221718987
0,3.934482759,0.221718987
0,3.882758621,0.193412956
0,3.705172414,0.195134269
0,3.684482759,0.195134269
0,3.612068966,0.186840671
0,3.555172414,0.186840671
0,3.567241379,0.202680226
0,3.489655172,0.202680226
0,3.420689655,0.180494417
0,3.5,0.178999135
0,3.668965517,0.144312076
0,3.717241379,0.161942491
0,3.64137931,0.17712134
0,3.720689655,0.179120844
0,3.736206897,0.190857067
0,3.463793103,0.183119854
0,3.327586207,0.18817947
0,3.489655172,0.186492931
0.6137931,3.55,0.179764163
0,3.70862069,0.165350343
0,3.729310345,0.171487953
0,3.813793103,0.174217711
0,3.863793103,0.171070665
0,4.005172414,0.165976275
0,4.075862069,0.165976275
0,3.927586207,0.16119485
0,3.917241379,0.16119485
1.718965533,3.620689655,0.161612138
0.058620692,3.494827586,0.172218207
1.629310338,3.213793103,0.180894318
2.684482778,3.224137931,0.175817315
0.653448279,3.194827586,0.16484612
0.882758609,3.555172414,0.160464596
0.479310341,3.45862069,0.166289241
0.053448276,3.693103448,0.176234603
0,3.722413793,0.176912696
0,3.884482759,0.172531173
0,3.801724138,0.173504844
0,4.048275862,0.182233117
0,4.274137931,0.2104696
0,4.432758621,0.207444263
0,4.687931034,0.207444263
0,4.45,0.21359926
0,4.210344828,0.212973328
0,4.203448276,0.209182962
0,4.396551724,0.19257838
0,4.324137931,0.191326516
0.012068965,4.427586207,0.192995668
0,4.30862069,0.207200845
0,4.370689655,0.223057786
0,4.522413793,0.209061253
0,4.617241379,0.188979272
0,4.648275862,0.170670764
0,4.706896552,0.167471556
0,4.815517241,0.175243544
0,4.684482759,0.180337934
0,4.672413793,0.189170529
0,4.594827586,0.197864027
0,4.615517241,0.198263928
0.091379308,4.601724138,0.213025489
0,4.720689655,0.224605229
0,5.013793103,0.189952944
0.170689654,5.039655172,0.189796461
1.031034481,5.329310345,0.192978281
0,5.729310345,0.215772634
0,5.984482759,0.215772634
0,5.770689655,0.204175507
0,5.363793103,0.174756708
0.017241379,5.267241379,0.187779569
0.00862069,5.168965517,0.178929587
0,5.001724138,0.202262938
0.925862076,4.993103448,0.184962875
0.910344811,5.110344828,0.184962875
0.581034479,5.277586207,0.182180956
0,5.25862069,0.157682677
0.003448276,5.377586207,0.166393563
0.115517238,5.201724138,0.163298677
0,4.986206897,0.173313587
0.082758621,5.20862069,0.192630541
0,5.287931034,0.192630541
0,5.603448276,0.141982219
0.362068968,5.565517241,0.174895804
0,5.565517241,0.139669748
0,5.601724138,0.139669748
0,5.703448276,0.143877401
0,5.929310345,0.122108881
0,6.284482759,0.108199283
0,6.196551724,0.109051246
0,6.155172414,0.100531617
0,6.156896552,0.100531617
0,5.867241379,0.101296645
0.318965514,5.717241379,0.10225293
0.39827586,5.618965517,0.1024268
0.620689653,5.625862069,0.109485921
1.075862063,5.587931034,0.12014415
1.062068968,5.556896552,0.118440224
0.31896552,5.522413793,0.117570875
0,5.65,0.1171362
1.450000019,5.594827586,0.097175927
0.377586208,5.246551724,0.097175927
0.07413793,5.336206897,0.104947915
0,5.463793103,0.104947915
0.153448274,5.5,0.094237524
0.220689652,5.631034483,0.078484905
0.47068966,5.472413793,0.094237524
0.781034487,5.367241379,0.104947915
